,Team1,1pts,Team2,2pts
0,Los Angeles Lakers,104,Los Angeles Clippers,115
1,Atlanta Hawks,104,Chicago Bulls,106
2,Orlando Magic,111,Brooklyn Nets,121
3,Sacramento Kings,123,Minnesota Timberwolves,117
4,Phoenix Suns,117,Portland Trail Blazers,130
5,Boston Celtics,110,New York Knicks,94
6,Charlotte Hornets,113,Oklahoma City Thunder,101
7,Memphis Grizzlies,103,Los Angeles Lakers,108
8,Dallas Mavericks,109,Milwaukee Bucks,105
9,Utah Jazz,103,San Antonio Spurs,109
10,Atlanta Hawks,82,Brooklyn Nets,91
11,Indiana Pacers,130,Cleveland Cavaliers,135
12,Denver Nuggets,116,Miami Heat,113
13,Chicago Bulls,117,New Orleans Pelicans,110
14,Philadelphia 76ers,105,Toronto Raptors,113
15,Washington Wizards,115,Golden State Warriors,139
16,Houston Rockets,123,Phoenix Suns,116
17,Portland Trail Blazers,109,Minnesota Timberwolves,110
18,Orlando Magic,102,Cleveland Cavaliers,122
19,Toronto Raptors,90,Indiana Pacers,108
20,Brooklyn Nets,141,Philadelphia 76ers,118
21,Charlotte Hornets,111,Washington Wizards,118
22,Denver Nuggets,134,New Orleans Pelicans,131
23,Chicago Bulls,91,New York Knicks,100
24,Milwaukee Bucks,79,Oklahoma City Thunder,110
25,Memphis Grizzlies,89,San Antonio Spurs,95
26,Portland Trail Blazers,87,Utah Jazz,106
27,Minnesota Timberwolves,107,Golden State Warriors,121
28,Dallas Mavericks,87,Sacramento Kings,98
29,Miami Heat,112,Charlotte Hornets,99
30,Toronto Raptors,105,Detroit Pistons,102
31,Cleveland Cavaliers,114,Boston Celtics,91
32,Denver Nuggets,104,Houston Rockets,110
33,Oklahoma City Thunder,103,Memphis Grizzlies,100
34,Los Angeles Lakers,102,San Antonio Spurs,95
35,Golden State Warriors,120,Phoenix Suns,111
36,Dallas Mavericks,101,Los Angeles Clippers,112
37,Milwaukee Bucks,89,Indiana Pacers,104
38,Brooklyn Nets,107,Orlando Magic,115
39,Chicago Bulls,102,Philadelphia 76ers,90
40,Washington Wizards,106,New York Knicks,103
41,Boston Celtics,116,Atlanta Hawks,123
42,Minnesota Timberwolves,98,Portland Trail Blazers,105
43,Atlanta Hawks,114,Cleveland Cavaliers,100
44,Miami Heat,94,Toronto Raptors,96
45,Detroit Pistons,114,Houston Rockets,109
46,New York Knicks,88,Memphis Grizzlies,101
47,San Antonio Spurs,102,Dallas Mavericks,89
48,New Orleans Pelicans,106,Denver Nuggets,122
49,Minnesota Timberwolves,113,Utah Jazz,120
50,Oklahoma City Thunder,99,Phoenix Suns,120
51,Sacramento Kings,94,Los Angeles Lakers,98
52,Chicago Bulls,106,Brooklyn Nets,107
53,Boston Celtics,121,Charlotte Hornets,114
54,Indiana Pacers,127,Orlando Magic,112
55,Milwaukee Bucks,90,Philadelphia 76ers,82
56,Miami Heat,106,Washington Wizards,103
57,Los Angeles Clippers,98,San Antonio Spurs,87
58,Utah Jazz,86,Portland Trail Blazers,101
59,New Orleans Pelicans,101,Golden State Warriors,123
60,Toronto Raptors,110,New York Knicks,97
61,Cleveland Cavaliers,125,Atlanta Hawks,126
62,Oklahoma City Thunder,106,Denver Nuggets,105
63,Detroit Pistons,103,Memphis Grizzlies,90
64,Dallas Mavericks,111,Phoenix Suns,124
65,Houston Rockets,135,Sacramento Kings,128
66,Minnesota Timberwolves,109,Los Angeles Lakers,110
67,Indiana Pacers,120,Philadelphia 76ers,111
68,Brooklyn Nets,105,Boston Celtics,114
69,Cleveland Cavaliers,121,Miami Heat,124
70,Orlando Magic,75,Chicago Bulls,122
71,Washington Wizards,105,Detroit Pistons,101
72,Charlotte Hornets,79,Milwaukee Bucks,89
73,San Antonio Spurs,98,Portland Trail Blazers,99
74,Utah Jazz,105,Golden State Warriors,99
75,Houston Rockets,96,Los Angeles Clippers,125
76,Charlotte Hornets,76,Atlanta Hawks,103
77,Oklahoma City Thunder,100,Minnesota Timberwolves,98
78,Denver Nuggets,109,Dallas Mavericks,91
79,New Orleans Pelicans,96,Los Angeles Lakers,108
80,Phoenix Suns,104,Sacramento Kings,129
81,Milwaukee Bucks,94,Boston Celtics,112
82,Brooklyn Nets,73,Chicago Bulls,112
83,Toronto Raptors,98,Cleveland Cavaliers,83
84,Minnesota Timberwolves,118,Houston Rockets,123
85,Atlanta Hawks,86,Indiana Pacers,104
86,Dallas Mavericks,100,Memphis Grizzlies,93
87,Washington Wizards,102,Miami Heat,110
88,Philadelphia 76ers,113,New York Knicks,114
89,Denver Nuggets,111,Oklahoma City Thunder,105
90,Detroit Pistons,109,Orlando Magic,113
91,San Antonio Spurs,97,Utah Jazz,101
92,Los Angeles Lakers,94,Golden State Warriors,109
93,Sacramento Kings,95,Los Angeles Clippers,115
94,New Orleans Pelicans,103,Portland Trail Blazers,100
