,Team1,1pts,Team2,2pts
0,Miami Heat,125,Denver Nuggets,105
1,Utah Jazz,94,Oklahoma City Thunder,110
2,New Orleans Pelicans,103,Los Angeles Clippers,126
3,Philadelphia 76ers,121,Indiana Pacers,127
4,Los Angeles Lakers,92,Toronto Raptors,107
5,Washington Wizards,110,Brooklyn Nets,118
6,Portland Trail Blazers,124,Boston Celtics,128
7,San Antonio Spurs,108,Memphis Grizzlies,106
8,Sacramento Kings,116,Orlando Magic,132
9,Milwaukee Bucks,116,Houston Rockets,120
10,Dallas Mavericks,115,Phoenix Suns,117
11,Toronto Raptors,107,Miami Heat,103
12,Denver Nuggets,121,Oklahoma City Thunder,113
13,Indiana Pacers,111,Washington Wizards,100
14,Memphis Grizzlies,99,New Orleans Pelicans,109
15,San Antonio Spurs,130,Philadelphia 76ers,132
16,Los Angeles Lakers,116,Utah Jazz,108
17,Brooklyn Nets,119,Milwaukee Bucks,116
18,Dallas Mavericks,114,Sacramento Kings,110
19,Phoenix Suns,117,Los Angeles Clippers,115
20,Orlando Magic,109,Indiana Pacers,120
21,Boston Celtics,106,Miami Heat,112
22,Houston Rockets,102,Portland Trail Blazers,110
23,Memphis Grizzlies,115,Utah Jazz,124
24,Denver Nuggets,132,San Antonio Spurs,126
25,Philadelphia 76ers,107,Washington Wizards,98
26,Oklahoma City Thunder,105,Los Angeles Lakers,86
27,Toronto Raptors,109,Orlando Magic,99
28,Brooklyn Nets,115,Boston Celtics,149
29,New Orleans Pelicans,125,Sacramento Kings,140
30,Miami Heat,116,Milwaukee Bucks,130
31,Indiana Pacers,99,Phoenix Suns,114
32,Los Angeles Clippers,126,Dallas Mavericks,111
33,Portland Trail Blazers,125,Denver Nuggets,115
34,Los Angeles Lakers,97,Houston Rockets,113
35,Utah Jazz,111,San Antonio Spurs,119
36,Oklahoma City Thunder,92,Memphis Grizzlies,121
37,Sacramento Kings,106,Brooklyn Nets,119
38,Orlando Magic,101,Philadelphia 76ers,108
39,Washington Wizards,107,New Orleans Pelicans,118
40,Boston Celtics,122,Toronto Raptors,100
41,Los Angeles Clippers,122,Portland Trail Blazers,117
42,Utah Jazz,132,Denver Nuggets,134
43,Los Angeles Lakers,111,Indiana Pacers,116
44,Phoenix Suns,119,Miami Heat,112
45,Milwaukee Bucks,132,Dallas Mavericks,136
46,Washington Wizards,103,Oklahoma City Thunder,121
47,Memphis Grizzlies,99,Toronto Raptors,108
48,San Antonio Spurs,122,New Orleans Pelicans,113
49,Orlando Magic,119,Boston Celtics,122
50,Philadelphia 76ers,121,Portland Trail Blazers,124
51,Houston Rockets,129,Sacramento Kings,112
52,Brooklyn Nets,129,Los Angeles Clippers,120
53,Oklahoma City Thunder,101,Phoenix Suns,128
54,Dallas Mavericks,122,Utah Jazz,114
55,Toronto Raptors,114,Milwaukee Bucks,106
56,Indiana Pacers,92,Miami Heat,114
57,Denver Nuggets,121,Los Angeles Lakers,124
58,Brooklyn Nets,108,Orlando Magic,96
59,Houston Rockets,105,San Antonio Spurs,123
60,Phoenix Suns,130,Philadelphia 76ers,117
61,Boston Celtics,122,Memphis Grizzlies,107
62,Portland Trail Blazers,134,Dallas Mavericks,131
63,New Orleans Pelicans,106,Sacramento Kings,112
64,Milwaukee Bucks,126,Washington Wizards,113
65,Indiana Pacers,108,Houston Rockets,104
66,Toronto Raptors,125,Philadelphia 76ers,121
67,Miami Heat,115,Oklahoma City Thunder,116
68,Los Angeles Clippers,124,Denver Nuggets,111
69,Washington Wizards,96,Boston Celtics,90
70,Sacramento Kings,136,Los Angeles Lakers,122
71,Milwaukee Bucks,106,Memphis Grizzlies,119
72,Dallas Mavericks,102,Phoenix Suns,128
73,San Antonio Spurs,112,Utah Jazz,118
74,Portland Trail Blazers,134,Brooklyn Nets,133
75,New Orleans Pelicans,127,Orlando Magic,133
76,Denver Nuggets,109,Toronto Raptors,117
77,Miami Heat,92,Indiana Pacers,109
78,Oklahoma City Thunder,103,Los Angeles Clippers,107
79,Philadelphia 76ers,134,Houston Rockets,96
