,Team1,1pts,Team2,2pts
0,Denver Nuggets,112,Toronto Raptors,98
1,Philadelphia 76ers,100,Detroit Pistons,115
2,Indiana Pacers,105,Los Angeles Clippers,100
3,Charlotte Bobcats,98,Miami Heat,99
4,Golden State Warriors,115,Sacramento Kings,113
5,Minnesota Timberwolves,103,Oklahoma City Thunder,113
6,New Orleans Pelicans,103,New York Knicks,99
7,Portland Trail Blazers,114,Los Angeles Lakers,108
8,Orlando Magic,80,Washington Wizards,98
9,New Orleans Pelicans,131,Chicago Bulls,128
10,Atlanta Hawks,100,San Antonio Spurs,102
11,Houston Rockets,103,Utah Jazz,109
12,Indiana Pacers,102,Portland Trail Blazers,106
13,Orlando Magic,125,Philadelphia 76ers,126
14,Milwaukee Bucks,100,Boston Celtics,108
15,Denver Nuggets,111,Brooklyn Nets,87
16,Detroit Pistons,107,Miami Heat,97
17,Phoenix Suns,91,Memphis Grizzlies,110
18,Charlotte Bobcats,82,Dallas Mavericks,89
19,Oklahoma City Thunder,97,Sacramento Kings,95
20,Toronto Raptors,103,Golden State Warriors,112
21,Denver Nuggets,88,Cleveland Cavaliers,98
22,Los Angeles Clippers,97,Atlanta Hawks,107
23,Phoenix Suns,97,Houston Rockets,88
24,Detroit Pistons,105,Milwaukee Bucks,98
25,Dallas Mavericks,100,New Orleans Pelicans,97
26,Indiana Pacers,95,Utah Jazz,86
27,Oklahoma City Thunder,104,Portland Trail Blazers,111
28,New York Knicks,113,Brooklyn Nets,83
29,Los Angeles Clippers,101,Memphis Grizzlies,81
30,Miami Heat,87,Chicago Bulls,107
31,Philadelphia 76ers,88,Charlotte Bobcats,105
32,Milwaukee Bucks,109,Washington Wizards,105
33,Cleveland Cavaliers,89,Atlanta Hawks,108
34,Denver Nuggets,98,Boston Celtics,106
35,Orlando Magic,83,New York Knicks,121
36,Golden State Warriors,83,Houston Rockets,105
37,Oklahoma City Thunder,109,New Orleans Pelicans,95
38,Toronto Raptors,97,Phoenix Suns,106
39,Utah Jazz,98,Portland Trail Blazers,130
40,Los Angeles Lakers,106,Sacramento Kings,100
41,Denver Nuggets,103,Philadelphia 76ers,92
42,Los Angeles Clippers,82,Cleveland Cavaliers,88
43,Detroit Pistons,92,Chicago Bulls,75
44,Golden State Warriors,108,Memphis Grizzlies,82
45,Miami Heat,103,Minnesota Timberwolves,82
46,Brooklyn Nets,90,Milwaukee Bucks,82
47,Indiana Pacers,111,San Antonio Spurs,100
48,Sacramento Kings,112,Utah Jazz,102
49,Dallas Mavericks,108,Portland Trail Blazers,106
50,Miami Heat,110,Detroit Pistons,95
