,Team1,1pts,Team2,2pts
0,Minnesota Timberwolves,97,Cleveland Cavaliers,125
1,Indiana Pacers,98,Orlando Magic,88
2,Toronto Raptors,104,Boston Celtics,109
3,New York Knicks,95,Brooklyn Nets,90
4,New Orleans Pelicans,98,Detroit Pistons,118
5,Atlanta Hawks,93,Miami Heat,116
6,Philadelphia 76ers,95,Dallas Mavericks,113
7,Memphis Grizzlies,119,Denver Nuggets,99
8,Los Angeles Clippers,124,Phoenix Suns,114
9,Milwaukee Bucks,88,Utah Jazz,104
10,Chicago Bulls,128,Oklahoma City Thunder,100
11,Charlotte Hornets,111,Golden State Warriors,126
12,Los Angeles Lakers,108,Washington Wizards,116
13,Atlanta Hawks,113,Houston Rockets,108
14,Philadelphia 76ers,86,San Antonio Spurs,102
15,Golden State Warriors,133,Los Angeles Clippers,120
16,Toronto Raptors,94,Orlando Magic,102
17,Indiana Pacers,106,Brooklyn Nets,97
18,Minnesota Timberwolves,108,Detroit Pistons,116
19,Los Angeles Lakers,107,Boston Celtics,113
20,Chicago Bulls,117,Houston Rockets,121
21,Memphis Grizzlies,102,Oklahoma City Thunder,114
22,Milwaukee Bucks,117,Denver Nuggets,121
23,Dallas Mavericks,108,Portland Trail Blazers,104
24,Phoenix Suns,105,Sacramento Kings,103
25,Orlando Magic,86,Atlanta Hawks,113
26,Detroit Pistons,84,Indiana Pacers,105
27,New Orleans Pelicans,91,Washington Wizards,105
28,Philadelphia 76ers,102,Miami Heat,125
29,Cleveland Cavaliers,111,New York Knicks,104
30,Memphis Grizzlies,107,Minnesota Timberwolves,99
31,Milwaukee Bucks,137,Phoenix Suns,112
32,Denver Nuggets,97,San Antonio Spurs,121
33,Charlotte Hornets,98,Utah Jazz,105
34,Golden State Warriors,106,Sacramento Kings,109
35,Toronto Raptors,103,Brooklyn Nets,95
36,Los Angeles Clippers,102,Boston Celtics,107
37,Portland Trail Blazers,99,Oklahoma City Thunder,105
38,Oklahoma City Thunder,90,Indiana Pacers,93
39,Los Angeles Lakers,121,New York Knicks,107
40,Cleveland Cavaliers,140,Washington Wizards,135
41,Utah Jazz,120,Atlanta Hawks,95
42,Philadelphia 76ers,96,Detroit Pistons,113
43,Los Angeles Clippers,109,Toronto Raptors,118
44,Miami Heat,115,Minnesota Timberwolves,113
45,Phoenix Suns,106,New Orleans Pelicans,111
46,Dallas Mavericks,87,Denver Nuggets,110
47,San Antonio Spurs,74,Memphis Grizzlies,89
48,Chicago Bulls,112,Sacramento Kings,107
49,Brooklyn Nets,107,Charlotte Hornets,111
