,Team1,1pts,Team2,2pts
0,Orlando Magic,91,Washington Wizards,103
1,Dallas Mavericks,82,Miami Heat,106
2,Charlotte Hornets,94,Toronto Raptors,104
3,New York Knicks,81,Chicago Bulls,108
4,Philadelphia 76ers,84,Los Angeles Lakers,93
5,Brooklyn Nets,100,Boston Celtics,97
6,Phoenix Suns,119,Sacramento Kings,142
7,Oklahoma City Thunder,109,Charlotte Hornets,90
8,Detroit Pistons,82,Indiana Pacers,94
9,Orlando Magic,79,Cleveland Cavaliers,104
10,Milwaukee Bucks,95,Minnesota Timberwolves,85
11,New Orleans Pelicans,105,Dallas Mavericks,98
12,Houston Rockets,103,San Antonio Spurs,121
13,Memphis Grizzlies,87,Utah Jazz,92
14,Denver Nuggets,108,Golden State Warriors,111
15,Philadelphia 76ers,99,Los Angeles Clippers,130
16,Atlanta Hawks,97,New York Knicks,111
17,Chicago Bulls,115,Toronto Raptors,113
18,Miami Heat,97,Washington Wizards,75
19,Portland Trail Blazers,112,Denver Nuggets,106
20,Phoenix Suns,77,Los Angeles Lakers,97
21,Toronto Raptors,100,Cleveland Cavaliers,122
22,Minnesota Timberwolves,99,Philadelphia 76ers,109
23,Boston Celtics,103,Brooklyn Nets,94
24,Orlando Magic,89,Detroit Pistons,115
25,Indiana Pacers,100,Miami Heat,103
26,San Antonio Spurs,123,Milwaukee Bucks,98
27,Sacramento Kings,116,Oklahoma City Thunder,104
28,Houston Rockets,93,Utah Jazz,91
29,Memphis Grizzlies,91,Portland Trail Blazers,78
30,Charlotte Hornets,101,Golden State Warriors,111
31,New York Knicks,107,Atlanta Hawks,101
32,Milwaukee Bucks,106,Chicago Bulls,117
33,Sacramento Kings,116,Dallas Mavericks,117
34,Golden State Warriors,109,Los Angeles Lakers,88
35,New York Knicks,98,Miami Heat,90
36,Indiana Pacers,95,Orlando Magic,86
37,Cleveland Cavaliers,121,Washington Wizards,115
38,Detroit Pistons,99,Boston Celtics,94
39,Toronto Raptors,91,Brooklyn Nets,74
40,Denver Nuggets,78,Minnesota Timberwolves,74
41,Dallas Mavericks,100,New Orleans Pelicans,91
42,Utah Jazz,98,San Antonio Spurs,123
43,Charlotte Hornets,102,Phoenix Suns,111
44,Memphis Grizzlies,94,Oklahoma City Thunder,112
45,Los Angeles Clippers,109,Portland Trail Blazers,98
46,Atlanta Hawks,126,Philadelphia 76ers,98
47,Boston Celtics,92,Chicago Bulls,101
48,Utah Jazz,94,Houston Rockets,103
49,Los Angeles Lakers,115,Sacramento Kings,118
50,Toronto Raptors,97,Washington Wizards,88
51,Orlando Magic,83,Brooklyn Nets,77
52,Denver Nuggets,84,Memphis Grizzlies,91
53,Dallas Mavericks,95,Milwaukee Bucks,96
54,Cleveland Cavaliers,125,Minnesota Timberwolves,99
55,Indiana Pacers,91,New Orleans Pelicans,86
56,New York Knicks,99,San Antonio Spurs,100
57,Miami Heat,103,Phoenix Suns,95
58,Golden State Warriors,128,Portland Trail Blazers,108
59,Oklahoma City Thunder,117,Los Angeles Lakers,113
60,Charlotte Hornets,83,Los Angeles Clippers,97
61,Chicago Bulls,105,Atlanta Hawks,120
62,Washington Wizards,105,Orlando Magic,99
63,Brooklyn Nets,89,Detroit Pistons,103
64,Toronto Raptors,108,Philadelphia 76ers,95
65,Miami Heat,83,Utah Jazz,98
66,Golden State Warriors,128,Sacramento Kings,116
67,New Orleans Pelicans,111,Los Angeles Clippers,114
68,Dallas Mavericks,93,Minnesota Timberwolves,87
69,Boston Celtics,98,Memphis Grizzlies,101
70,Cleveland Cavaliers,95,Philadelphia 76ers,85
71,Indiana Pacers,103,Houston Rockets,107
72,Milwaukee Bucks,88,New York Knicks,100
73,Charlotte Hornets,92,Denver Nuggets,95
74,Oklahoma City Thunder,110,Portland Trail Blazers,115
75,Utah Jazz,86,Los Angeles Lakers,74
76,San Antonio Spurs,106,Brooklyn Nets,79
77,Washington Wizards,114,Chicago Bulls,100
78,Miami Heat,103,Golden State Warriors,111
79,Phoenix Suns,97,Indiana Pacers,116
80,San Antonio Spurs,109,Detroit Pistons,99
81,Boston Celtics,114,New York Knicks,120
82,Houston Rockets,107,Memphis Grizzlies,91
83,Chicago Bulls,101,Milwaukee Bucks,106
84,Oklahoma City Thunder,101,Minnesota Timberwolves,96
85,Cleveland Cavaliers,110,Dallas Mavericks,107
86,New Orleans Pelicans,91,Los Angeles Lakers,95
87,Atlanta Hawks,84,Charlotte Hornets,107
88,Milwaukee Bucks,101,Washington Wizards,106
89,New York Knicks,104,Brooklyn Nets,110
90,Indiana Pacers,94,Boston Celtics,103
91,Minnesota Timberwolves,104,Houston Rockets,107
92,Dallas Mavericks,89,Oklahoma City Thunder,108
93,Golden State Warriors,110,Denver Nuggets,112
94,Utah Jazz,85,Portland Trail Blazers,99
95,New Orleans Pelicans,109,Sacramento Kings,97
96,Miami Heat,90,Los Angeles Clippers,104
97,Toronto Raptors,106,Orlando Magic,103
98,Chicago Bulls,115,Philadelphia 76ers,111
99,Detroit Pistons,101,Memphis Grizzlies,103
100,Cleveland Cavaliers,95,San Antonio Spurs,99
101,Sacramento Kings,103,Utah Jazz,101
102,Los Angeles Lakers,98,Golden State Warriors,116
103,Washington Wizards,118,Indiana Pacers,104
104,Minnesota Timberwolves,93,Oklahoma City Thunder,113
105,Phoenix Suns,103,Boston Celtics,117
106,Portland Trail Blazers,116,Brooklyn Nets,104
107,Dallas Mavericks,83,Chicago Bulls,77
108,Atlanta Hawks,101,Milwaukee Bucks,108
109,Charlotte Hornets,107,New Orleans Pelicans,109
110,Miami Heat,98,Denver Nuggets,95
111,Cleveland Cavaliers,91,Houston Rockets,77
112,Milwaukee Bucks,105,Charlotte Hornets,92
113,Brooklyn Nets,86,Atlanta Hawks,114
114,Golden State Warriors,95,Detroit Pistons,113
115,Portland Trail Blazers,89,Philadelphia 76ers,114
116,Boston Celtics,119,Washington Wizards,117
117,New York Knicks,95,Memphis Grizzlies,103
118,Los Angeles Lakers,82,Utah Jazz,109
119,Sacramento Kings,110,Los Angeles Clippers,103
120,Phoenix Suns,87,Minnesota Timberwolves,117
121,Miami Heat,74,Oklahoma City Thunder,99
122,Dallas Mavericks,83,San Antonio Spurs,112
123,Indiana Pacers,126,Denver Nuggets,129
124,Houston Rockets,112,Los Angeles Lakers,95
125,Philadelphia 76ers,113,New York Knicks,119
126,Utah Jazz,119,Charlotte Hornets,124
127,Portland Trail Blazers,108,Washington Wizards,98
128,New Orleans Pelicans,99,Memphis Grizzlies,101
129,Chicago Bulls,111,Detroit Pistons,101
130,Orlando Magic,81,Atlanta Hawks,98
131,Brooklyn Nets,100,Toronto Raptors,112
132,Golden State Warriors,132,Cleveland Cavaliers,98
133,Boston Celtics,113,Dallas Mavericks,118
134,Houston Rockets,132,Los Angeles Clippers,140
135,Milwaukee Bucks,91,Miami Heat,79
136,Minnesota Timberwolves,99,New Orleans Pelicans,114
137,Oklahoma City Thunder,110,Denver Nuggets,104
138,Indiana Pacers,97,Phoenix Suns,94
139,Philadelphia 76ers,96,Orlando Magic,87
140,Miami Heat,87,Washington Wizards,106
141,Cleveland Cavaliers,91,Brooklyn Nets,78
142,Utah Jazz,111,New York Knicks,118
143,Boston Celtics,109,Toronto Raptors,115
144,Golden State Warriors,125,Chicago Bulls,94
145,Detroit Pistons,123,Houston Rockets,114
146,Charlotte Hornets,95,Oklahoma City Thunder,109
147,Minnesota Timberwolves,94,Dallas Mavericks,106
148,Sacramento Kings,112,Los Angeles Lakers,93
149,Atlanta Hawks,104,Portland Trail Blazers,98
150,Los Angeles Clippers,102,Cleveland Cavaliers,115
151,Detroit Pistons,99,New Orleans Pelicans,115
152,Memphis Grizzlies,102,Denver Nuggets,101
153,Atlanta Hawks,88,Sacramento Kings,91
154,San Antonio Spurs,117,Phoenix Suns,89
155,Charlotte Hornets,120,Orlando Magic,116
156,Chicago Bulls,101,Boston Celtics,110
157,Utah Jazz,108,Brooklyn Nets,86
158,Los Angeles Clippers,116,New York Knicks,88
159,Milwaukee Bucks,98,Houston Rockets,102
160,Miami Heat,81,Toronto Raptors,101
161,Oklahoma City Thunder,109,Dallas Mavericks,106
162,Indiana Pacers,110,Golden State Warriors,122
163,San Antonio Spurs,108,Los Angeles Lakers,95
164,New York Knicks,84,Charlotte Hornets,97
165,Milwaukee Bucks,99,New Orleans Pelicans,116
166,Memphis Grizzlies,101,Minnesota Timberwolves,106
167,Chicago Bulls,96,Cleveland Cavaliers,83
168,Atlanta Hawks,95,Phoenix Suns,98
169,Detroit Pistons,101,Denver Nuggets,104
170,Los Angeles Lakers,103,Portland Trail Blazers,121
171,Indiana Pacers,97,Sacramento Kings,108
172,Dallas Mavericks,104,Houston Rockets,115
173,Los Angeles Clippers,94,Toronto Raptors,112
174,Boston Celtics,112,Philadelphia 76ers,92
175,Oklahoma City Thunder,106,Brooklyn Nets,116
176,Minnesota Timberwolves,107,Cleveland Cavaliers,114
177,Boston Celtics,116,Washington Wizards,91
178,Miami Heat,89,Chicago Bulls,84
179,Orlando Magic,102,Memphis Grizzlies,108
180,Houston Rockets,112,New Orleans Pelicans,111
181,Atlanta Hawks,119,Denver Nuggets,105
182,Detroit Pistons,95,Utah Jazz,92
183,Charlotte Hornets,129,Sacramento Kings,128
184,San Antonio Spurs,90,Golden State Warriors,120
185,Los Angeles Clippers,91,Indiana Pacers,89
186,Phoenix Suns,103,Philadelphia 76ers,113
187,Miami Heat,102,Brooklyn Nets,98
188,Oklahoma City Thunder,128,New York Knicks,122
189,Washington Wizards,89,Toronto Raptors,106
190,Orlando Magic,100,Milwaukee Bucks,107
191,Sacramento Kings,97,Portland Trail Blazers,112
192,Dallas Mavericks,92,Los Angeles Lakers,90
193,Phoenix Suns,93,Cleveland Cavaliers,115
194,Denver Nuggets,103,Boston Celtics,111
195,Philadelphia 76ers,97,Detroit Pistons,110
196,Los Angeles Clippers,85,Atlanta Hawks,83
197,Oklahoma City Thunder,126,Minnesota Timberwolves,123
198,Houston Rockets,99,San Antonio Spurs,130
199,Charlotte Hornets,73,Utah Jazz,102
200,Dallas Mavericks,107,Golden State Warriors,127
201,Atlanta Hawks,92,Indiana Pacers,111
202,Denver Nuggets,117,Washington Wizards,113
203,Milwaukee Bucks,83,Memphis Grizzlies,103
204,Sacramento Kings,105,New Orleans Pelicans,114
205,New York Knicks,93,Toronto Raptors,103
206,Chicago Bulls,114,Los Angeles Lakers,91
207,Orlando Magic,94,Boston Celtics,113
208,Cleveland Cavaliers,114,Detroit Pistons,106
209,Phoenix Suns,84,New York Knicks,102
210,Miami Heat,107,Milwaukee Bucks,103
211,Houston Rockets,108,Oklahoma City Thunder,116
212,Brooklyn Nets,79,Dallas Mavericks,91
213,Minnesota Timberwolves,90,Utah Jazz,103
214,Charlotte Hornets,91,Portland Trail Blazers,109
215,Los Angeles Lakers,93,Los Angeles Clippers,105
216,Golden State Warriors,108,Philadelphia 76ers,105
217,Detroit Pistons,107,Toronto Raptors,111
218,Denver Nuggets,105,Indiana Pacers,109
219,Brooklyn Nets,103,New Orleans Pelicans,105
220,Washington Wizards,123,Houston Rockets,122
221,Sacramento Kings,117,Memphis Grizzlies,121
222,San Antonio Spurs,103,Cleveland Cavaliers,117
223,Chicago Bulls,93,Los Angeles Clippers,120
224,Atlanta Hawks,87,Miami Heat,105
225,Boston Celtics,114,Orlando Magic,119
226,Phoenix Suns,78,Dallas Mavericks,91
227,Golden State Warriors,116,New York Knicks,95
228,Minnesota Timberwolves,93,Portland Trail Blazers,96
229,Charlotte Hornets,101,Los Angeles Lakers,82
