,Team1,1pts,Team2,2pts
0,Dallas Mavericks,89,Charlotte Bobcats,84
1,New York Knicks,93,Cleveland Cavaliers,124
2,Orlando Magic,126,Philadelphia 76ers,105
3,Atlanta Hawks,116,Chicago Bulls,92
4,Portland Trail Blazers,103,Memphis Grizzlies,93
5,San Antonio Spurs,106,New Orleans Hornets,92
6,Toronto Raptors,92,Houston Rockets,116
7,Denver Nuggets,85,Phoenix Suns,101
8,Utah Jazz,104,Los Angeles Clippers,108
9,Boston Celtics,105,Detroit Pistons,100
10,Golden State Warriors,106,Miami Heat,110
11,Sacramento Kings,107,Oklahoma City Thunder,113
12,Indiana Pacers,99,Los Angeles Lakers,122
13,Philadelphia 76ers,93,Atlanta Hawks,112
14,Golden State Warriors,90,Orlando Magic,117
15,Charlotte Bobcats,80,Boston Celtics,104
16,Cleveland Cavaliers,111,New Jersey Nets,92
17,Detroit Pistons,104,New York Knicks,128
18,Washington Wizards,87,Milwaukee Bucks,100
19,Memphis Grizzlies,104,New Orleans Hornets,100
20,Minnesota Timberwolves,109,Dallas Mavericks,112
21,Sacramento Kings,84,Houston Rockets,81
22,Oklahoma City Thunder,90,Denver Nuggets,119
23,Indiana Pacers,79,Portland Trail Blazers,102
24,Phoenix Suns,127,Los Angeles Clippers,101
25,Memphis Grizzlies,105,Chicago Bulls,96
26,Los Angeles Lakers,111,Miami Heat,114
27,Utah Jazz,116,Phoenix Suns,108
28,Los Angeles Lakers,83,Charlotte Bobcats,98
29,Detroit Pistons,92,Cleveland Cavaliers,99
30,Boston Celtics,96,Philadelphia 76ers,86
31,New York Knicks,96,Toronto Raptors,102
32,Milwaukee Bucks,102,Washington Wizards,74
33,Golden State Warriors,122,Atlanta Hawks,127
34,Orlando Magic,97,New Jersey Nets,87
35,Sacramento Kings,100,Dallas Mavericks,108
36,Indiana Pacers,114,Denver Nuggets,122
37,New Orleans Hornets,91,San Antonio Spurs,102
38,Oklahoma City Thunder,104,Los Angeles Clippers,87
39,Golden State Warriors,90,Charlotte Bobcats,101
40,Atlanta Hawks,94,Miami Heat,100
41,New Jersey Nets,113,New York Knicks,93
42,Dallas Mavericks,122,Chicago Bulls,116
43,San Antonio Spurs,102,Memphis Grizzlies,92
44,Houston Rockets,112,Minnesota Timberwolves,98
45,Cleveland Cavaliers,85,Milwaukee Bucks,92
46,Indiana Pacers,105,Phoenix Suns,113
47,Los Angeles Clippers,85,Utah Jazz,107
48,Philadelphia 76ers,114,Toronto Raptors,101
49,Los Angeles Lakers,94,Orlando Magic,96
50,Houston Rockets,107,Detroit Pistons,110
51,Washington Wizards,83,Boston Celtics,86
52,Oklahoma City Thunder,108,Sacramento Kings,102
53,Portland Trail Blazers,106,Denver Nuggets,118
54,San Antonio Spurs,95,Cleveland Cavaliers,97
55,Atlanta Hawks,98,New York Knicks,99
56,New Jersey Nets,101,Memphis Grizzlies,107
57,Dallas Mavericks,125,Minnesota Timberwolves,112
58,Golden State Warriors,131,New Orleans Hornets,135
59,Miami Heat,78,Charlotte Bobcats,83
60,Philadelphia 76ers,96,Indiana Pacers,107
61,Los Angeles Clippers,87,Orlando Magic,113
62,Houston Rockets,96,Washington Wizards,88
63,Utah Jazz,132,Chicago Bulls,108
64,Boston Celtics,84,Milwaukee Bucks,86
65,Sacramento Kings,81,Portland Trail Blazers,88
66,Toronto Raptors,107,Los Angeles Lakers,109
67,Charlotte Bobcats,102,Philadelphia 76ers,87
68,Memphis Grizzlies,111,Boston Celtics,91
69,Utah Jazz,115,Detroit Pistons,104
70,Los Angeles Clippers,97,Miami Heat,108
71,Denver Nuggets,110,Minnesota Timberwolves,102
72,New Orleans Hornets,83,Oklahoma City Thunder,98
73,New Jersey Nets,87,Dallas Mavericks,96
74,New York Knicks,87,San Antonio Spurs,97
75,Toronto Raptors,90,Sacramento Kings,113
76,Atlanta Hawks,105,Washington Wizards,99
77,Chicago Bulls,82,Orlando Magic,111
78,Portland Trail Blazers,110,Golden State Warriors,105
79,Los Angeles Clippers,98,Charlotte Bobcats,106
80,Cleveland Cavaliers,100,Philadelphia 76ers,95
81,Indiana Pacers,103,Boston Celtics,122
82,Chicago Bulls,95,Miami Heat,108
83,Washington Wizards,87,Detroit Pistons,101
84,New York Knicks,112,Memphis Grizzlies,119
85,San Antonio Spurs,103,Minnesota Timberwolves,85
86,Denver Nuggets,102,New Orleans Hornets,95
87,New Jersey Nets,102,Oklahoma City Thunder,104
88,Utah Jazz,87,Milwaukee Bucks,95
89,Los Angeles Lakers,102,Phoenix Suns,96
90,Portland Trail Blazers,110,Sacramento Kings,94
91,Detroit Pistons,99,Atlanta Hawks,112
92,Orlando Magic,109,Washington Wizards,95
93,Denver Nuggets,125,Memphis Grizzlies,108
94,New York Knicks,128,Dallas Mavericks,94
95,New Jersey Nets,108,Houston Rockets,116
96,Los Angeles Clippers,88,San Antonio Spurs,118
97,Toronto Raptors,112,Golden State Warriors,124
98,Indiana Pacers,94,Milwaukee Bucks,98
99,Boston Celtics,93,Cleveland Cavaliers,104
100,Philadelphia 76ers,91,Miami Heat,104
101,Charlotte Bobcats,96,Orlando Magic,89
102,Utah Jazz,111,Oklahoma City Thunder,119
103,New Orleans Hornets,106,Phoenix Suns,120
104,Toronto Raptors,98,Portland Trail Blazers,109
105,Minnesota Timberwolves,100,Sacramento Kings,114
106,New York Knicks,94,Philadelphia 76ers,84
107,Detroit Pistons,93,Boston Celtics,119
108,Denver Nuggets,123,Houston Rockets,125
109,Washington Wizards,89,Utah Jazz,112
110,Los Angeles Lakers,124,Golden State Warriors,121
111,New Orleans Hornets,108,Los Angeles Clippers,100
112,Charlotte Bobcats,94,Indiana Pacers,99
