,Team1,1pts,Team2,2pts
0,Portland Trail Blazers,98,Chicago Bulls,110
1,Toronto Raptors,108,Sacramento Kings,111
2,San Antonio Spurs,97,Los Angeles Clippers,88
3,Atlanta Hawks,100,Cleveland Cavaliers,88
4,Philadelphia 76ers,115,Washington Wizards,116
5,Boston Celtics,109,Detroit Pistons,86
6,Minnesota Timberwolves,97,Miami Heat,129
7,Portland Trail Blazers,90,Milwaukee Bucks,76
8,Memphis Grizzlies,105,Los Angeles Lakers,124
9,Detroit Pistons,85,Atlanta Hawks,94
10,Charlotte Bobcats,85,New Jersey Nets,83
11,Minnesota Timberwolves,86,Orlando Magic,128
12,Indiana Pacers,75,Philadelphia 76ers,101
13,Milwaukee Bucks,102,Boston Celtics,105
14,New Orleans Hornets,107,Houston Rockets,99
15,Dallas Mavericks,102,Denver Nuggets,101
16,Toronto Raptors,108,Utah Jazz,125
17,San Antonio Spurs,112,Phoenix Suns,110
18,Memphis Grizzlies,109,Golden State Warriors,115
19,Oklahoma City Thunder,92,Los Angeles Clippers,107
20,Los Angeles Lakers,112,Sacramento Kings,100
21,New York Knicks,120,Chicago Bulls,112
22,Oklahoma City Thunder,107,Portland Trail Blazers,106
23,Milwaukee Bucks,94,Indiana Pacers,90
24,New Jersey Nets,90,Orlando Magic,105
25,Cleveland Cavaliers,123,Philadelphia 76ers,116
26,Charlotte Bobcats,90,Detroit Pistons,97
27,Washington Wizards,91,New York Knicks,112
28,Chicago Bulls,105,Boston Celtics,110
29,Atlanta Hawks,113,Minnesota Timberwolves,103
30,Miami Heat,93,New Orleans Hornets,96
31,Memphis Grizzlies,118,Phoenix Suns,123
32,Los Angeles Clippers,104,Denver Nuggets,111
33,Utah Jazz,78,Golden State Warriors,85
34,Toronto Raptors,103,Los Angeles Lakers,108
35,Orlando Magic,91,Charlotte Bobcats,88
36,Cleveland Cavaliers,107,Washington Wizards,102
37,New Jersey Nets,89,Miami Heat,101
38,New Orleans Hornets,87,Milwaukee Bucks,81
39,Houston Rockets,121,San Antonio Spurs,124
40,Denver Nuggets,103,Dallas Mavericks,92
41,Los Angeles Clippers,107,Utah Jazz,109
42,Toronto Raptors,84,Portland Trail Blazers,97
43,Memphis Grizzlies,100,Sacramento Kings,91
44,Philadelphia 76ers,106,New York Knicks,96
45,Phoenix Suns,118,Atlanta Hawks,114
46,Golden State Warriors,97,Detroit Pistons,102
47,Minnesota Timberwolves,94,Houston Rockets,120
48,Boston Celtics,92,Oklahoma City Thunder,83
49,Portland Trail Blazers,96,Los Angeles Lakers,121
50,San Antonio Spurs,95,Charlotte Bobcats,91
51,Atlanta Hawks,89,Orlando Magic,93
52,Golden State Warriors,109,Toronto Raptors,102
53,Denver Nuggets,92,Chicago Bulls,94
54,Phoenix Suns,99,Memphis Grizzlies,109
55,Boston Celtics,87,Dallas Mavericks,89
56,Denver Nuggets,113,Indiana Pacers,144
57,Cleveland Cavaliers,93,New Jersey Nets,91
58,Utah Jazz,116,Miami Heat,114
59,New York Knicks,80,Milwaukee Bucks,107
60,Los Angeles Clippers,82,New Orleans Hornets,101
61,Detroit Pistons,78,Portland Trail Blazers,100
62,Minnesota Timberwolves,94,Los Angeles Lakers,99
63,Milwaukee Bucks,108,Atlanta Hawks,91
64,Utah Jazz,104,Orlando Magic,94
65,Charlotte Bobcats,101,Toronto Raptors,96
66,Houston Rockets,91,Washington Wizards,98
67,New Jersey Nets,95,Cleveland Cavaliers,87
68,Golden State Warriors,122,New York Knicks,117
69,Dallas Mavericks,106,Memphis Grizzlies,91
70,Philadelphia 76ers,103,Oklahoma City Thunder,109
71,Los Angeles Clippers,95,San Antonio Spurs,107
72,Minnesota Timberwolves,98,Sacramento Kings,89
73,Golden State Warriors,90,Chicago Bulls,120
74,Boston Celtics,112,Miami Heat,107
75,Los Angeles Lakers,112,Denver Nuggets,118
76,Utah Jazz,90,Atlanta Hawks,86
77,Houston Rockets,102,Indiana Pacers,99
78,Toronto Raptors,110,Orlando Magic,106
79,Charlotte Bobcats,93,Washington Wizards,85
80,New York Knicks,103,Minnesota Timberwolves,112
81,Philadelphia 76ers,90,Dallas Mavericks,99
82,Sacramento Kings,89,Phoenix Suns,103
83,Portland Trail Blazers,108,Oklahoma City Thunder,110
84,Detroit Pistons,113,Los Angeles Clippers,107
85,Utah Jazz,96,Charlotte Bobcats,95
86,Orlando Magic,91,New Jersey Nets,90
87,Indiana Pacers,99,Cleveland Cavaliers,85
88,Toronto Raptors,100,Miami Heat,109
89,Washington Wizards,96,Chicago Bulls,103
