,Team1,1pts,Team2,2pts
0,Philadelphia 76ers,87,Boston Celtics,105
1,Oklahoma City Thunder,100,Golden State Warriors,108
2,Milwaukee Bucks,113,Charlotte Hornets,112
3,Brooklyn Nets,100,Detroit Pistons,103
4,Memphis Grizzlies,83,Indiana Pacers,111
5,Miami Heat,101,Orlando Magic,104
6,Atlanta Hawks,107,New York Knicks,126
7,Cleveland Cavaliers,104,Toronto Raptors,116
8,New Orleans Pelicans,131,Houston Rockets,112
9,Minnesota Timberwolves,108,San Antonio Spurs,112
10,Utah Jazz,123,Sacramento Kings,117
11,Denver Nuggets,107,Los Angeles Clippers,98
12,Dallas Mavericks,100,Phoenix Suns,121
13,Chicago Bulls,108,Philadelphia 76ers,127
14,Miami Heat,113,Washington Wizards,112
15,Los Angeles Lakers,119,Portland Trail Blazers,128
16,Charlotte Hornets,120,Orlando Magic,88
17,New York Knicks,105,Brooklyn Nets,107
18,Atlanta Hawks,117,Memphis Grizzlies,131
19,Cleveland Cavaliers,123,Minnesota Timberwolves,131
20,Sacramento Kings,129,New Orleans Pelicans,149
21,Boston Celtics,101,Toronto Raptors,113
22,Indiana Pacers,101,Milwaukee Bucks,118
23,Oklahoma City Thunder,92,Los Angeles Clippers,108
24,Golden State Warriors,124,Utah Jazz,123
25,Brooklyn Nets,112,Indiana Pacers,132
26,Toronto Raptors,117,Washington Wizards,113
27,Boston Celtics,103,New York Knicks,101
28,Orlando Magic,115,Philadelphia 76ers,116
29,Detroit Pistons,118,Chicago Bulls,116
30,Charlotte Hornets,113,Miami Heat,112
31,Minnesota Timberwolves,136,Dallas Mavericks,140
32,Phoenix Suns,91,Denver Nuggets,119
33,San Antonio Spurs,108,Portland Trail Blazers,121
34,Houston Rockets,124,Los Angeles Lakers,115
35,Atlanta Hawks,133,Cleveland Cavaliers,111
36,Sacramento Kings,131,Oklahoma City Thunder,120
37,Golden State Warriors,98,Denver Nuggets,100
38,Houston Rockets,112,Los Angeles Clippers,115
39,Orlando Magic,93,Boston Celtics,90
40,Charlotte Hornets,106,Toronto Raptors,127
41,New York Knicks,113,Milwaukee Bucks,124
42,Indiana Pacers,91,Minnesota Timberwolves,101
43,Chicago Bulls,109,Dallas Mavericks,115
44,Memphis Grizzlies,92,Utah Jazz,84
45,Washington Wizards,125,Portland Trail Blazers,124
46,Phoenix Suns,103,Golden State Warriors,123
47,San Antonio Spurs,143,Los Angeles Lakers,142
48,Philadelphia 76ers,132,Detroit Pistons,133
49,Los Angeles Clippers,109,New Orleans Pelicans,116
50,Sacramento Kings,112,Denver Nuggets,126
51,Dallas Mavericks,104,Atlanta Hawks,111
52,Brooklyn Nets,102,Cleveland Cavaliers,86
53,New York Knicks,87,Miami Heat,110
54,Minnesota Timberwolves,105,Toronto Raptors,112
55,Charlotte Hornets,110,Chicago Bulls,112
56,Utah Jazz,100,Houston Rockets,89
57,Indiana Pacers,116,San Antonio Spurs,96
58,Philadelphia 76ers,108,Milwaukee Bucks,123
59,Los Angeles Lakers,131,Phoenix Suns,113
60,Memphis Grizzlies,92,Sacramento Kings,97
61,Washington Wizards,122,Golden State Warriors,144
62,Cleveland Cavaliers,103,Detroit Pistons,110
63,Portland Trail Blazers,128,Orlando Magic,114
64,Boston Celtics,101,Oklahoma City Thunder,95
65,Denver Nuggets,114,Los Angeles Lakers,121
66,Chicago Bulls,106,Charlotte Hornets,135
67,Golden State Warriors,128,New York Knicks,100
68,Dallas Mavericks,107,Toronto Raptors,116
69,Los Angeles Clippers,133,Houston Rockets,113
70,Milwaukee Bucks,125,Minnesota Timberwolves,95
71,Brooklyn Nets,115,New Orleans Pelicans,117
72,Washington Wizards,112,Sacramento Kings,116
73,Boston Celtics,109,Detroit Pistons,89
74,Utah Jazz,132,New Orleans Pelicans,111
75,Chicago Bulls,97,Atlanta Hawks,85
76,Indiana Pacers,119,Cleveland Cavaliers,107
77,Charlotte Hornets,103,Philadelphia 76ers,105
78,Phoenix Suns,96,Memphis Grizzlies,117
79,Portland Trail Blazers,111,Miami Heat,120
80,Orlando Magic,91,Milwaukee Bucks,113
81,Los Angeles Lakers,106,San Antonio Spurs,110
82,Golden State Warriors,120,Brooklyn Nets,114
83,Utah Jazz,113,Dallas Mavericks,104
84,Phoenix Suns,110,Oklahoma City Thunder,117
85,Washington Wizards,104,Los Angeles Clippers,136
86,Portland Trail Blazers,103,Indiana Pacers,93
87,Atlanta Hawks,92,Philadelphia 76ers,113
88,Sacramento Kings,123,Miami Heat,113
89,Brooklyn Nets,96,New York Knicks,115
90,Golden State Warriors,149,Chicago Bulls,124
91,Toronto Raptors,109,Milwaukee Bucks,124
92,Los Angeles Lakers,120,Minnesota Timberwolves,124
93,Dallas Mavericks,108,San Antonio Spurs,113
94,New Orleans Pelicans,111,Denver Nuggets,116
95,Miami Heat,113,Charlotte Hornets,125
96,Atlanta Hawks,114,Cleveland Cavaliers,136
97,Sacramento Kings,107,Orlando Magic,99
98,Detroit Pistons,105,Boston Celtics,108
99,Philadelphia 76ers,112,Toronto Raptors,129
100,Portland Trail Blazers,104,Houston Rockets,85
101,Washington Wizards,95,Memphis Grizzlies,107
102,Los Angeles Clippers,110,Oklahoma City Thunder,128
103,Detroit Pistons,119,Brooklyn Nets,120
104,Denver Nuggets,108,Chicago Bulls,107
105,Utah Jazz,125,Minnesota Timberwolves,128
106,Indiana Pacers,107,New York Knicks,101
107,New Orleans Pelicans,121,Golden State Warriors,131
108,Dallas Mavericks,113,Los Angeles Lakers,114
109,San Antonio Spurs,120,Phoenix Suns,90
