,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
0,Orlando Magic,8,7,1,384.0,120.8,107.3,13.5,54.4,1.73,17.7,29.0,71.8,51.4,14.1,59.4,61.6,91.44,57.7
1,Chicago Bulls,8,6,2,394.0,104.9,100.8,4.1,57.6,1.71,17.3,29.4,74.3,53.0,14.0,49.9,53.2,91.92,53.9
2,Miami Heat,7,6,1,351.0,111.3,104.9,6.4,47.1,1.31,14.8,32.6,73.2,52.8,15.3,52.1,55.7,87.45,52.6
3,Atlanta Hawks,8,5,3,384.0,110.3,106.8,3.5,56.5,1.75,17.3,34.4,67.8,51.6,14.0,51.2,54.5,88.31,53.2
4,Charlotte Bobcats,8,5,3,389.0,107.4,107.1,0.3,64.1,1.51,17.8,34.0,63.6,49.4,16.6,49.4,54.8,88.66,51.8
5,Dallas Mavericks,7,5,2,336.0,111.3,102.4,8.8,58.0,1.73,17.2,27.9,71.8,50.5,13.4,51.8,57.3,93.57,56.8
6,Denver Nuggets,7,5,2,336.0,107.9,105.6,2.3,54.5,1.79,15.6,28.0,66.9,47.0,11.8,48.2,52.9,94.50,50.5
7,Golden State Warriors,8,5,3,384.0,110.5,110.4,0.1,58.5,1.98,17.9,22.1,65.8,44.2,12.0,53.3,57.3,100.81,49.9
8,Houston Rockets,8,5,3,389.0,113.2,112.6,0.6,60.9,1.62,18.1,32.3,69.3,50.1,15.7,53.2,57.6,96.37,49.5
9,Milwaukee Bucks,8,5,3,389.0,107.4,103.6,3.8,57.5,1.85,16.8,29.2,71.3,49.7,12.5,49.2,53.0,88.23,51.6
10,Phoenix Suns,7,5,2,336.0,115.9,107.1,8.8,57.1,1.73,17.8,28.1,65.4,48.5,14.1,56.3,59.7,92.21,57.0
11,San Antonio Spurs,8,5,3,384.0,111.7,104.0,7.7,57.7,1.64,17.3,30.3,73.0,52.5,14.5,52.2,56.1,93.38,54.7
12,Detroit Pistons,8,4,4,384.0,114.2,114.5,-0.2,55.7,2.09,17.1,32.9,67.7,48.8,11.5,50.7,55.1,87.00,47.9
13,Indiana Pacers,7,4,3,341.0,113.1,109.4,3.7,56.8,1.79,17.2,26.3,65.7,45.7,13.1,52.9,57.0,95.58,50.9
14,Oklahoma City Thunder,8,4,4,389.0,113.1,112.2,0.8,52.7,1.42,15.6,33.5,69.4,50.9,15.0,51.1,56.9,97.11,50.4
15,Portland Trail Blazers,7,4,3,336.0,106.9,106.7,0.2,56.8,1.72,17.0,28.3,71.9,50.2,13.6,49.4,53.5,89.57,50.5
16,Washington Wizards,8,4,4,384.0,108.4,110.9,-2.6,60.1,1.42,17.8,33.7,72.5,53.3,17.5,52.0,55.9,92.63,50.2
17,Boston Celtics,8,3,5,389.0,112.2,113.5,-1.2,58.8,1.86,17.9,25.9,67.7,47.2,13.0,52.9,57.4,91.80,49.8
18,Los Angeles Lakers,7,3,4,336.0,104.4,106.5,-2.1,60.5,1.88,16.7,32.7,70.0,50.8,12.6,46.0,50.5,90.86,49.0
19,New York Knicks,8,3,5,384.0,115.0,120.5,-5.5,59.9,1.63,17.7,32.7,68.3,49.7,15.3,53.2,57.6,94.44,46.1
20,Toronto Raptors,8,3,5,389.0,115.3,116.8,-1.5,59.7,2.23,19.2,30.6,71.6,51.1,12.0,53.7,57.5,93.66,48.9
21,Utah Jazz,6,3,3,293.0,105.7,109.2,-3.5,63.9,1.41,18.4,30.5,75.2,52.8,18.3,51.8,55.6,98.05,48.0
22,Cleveland Cavaliers,7,2,5,336.0,108.2,110.3,-2.1,59.6,1.81,17.5,30.6,75.2,52.5,13.3,50.4,54.3,94.36,48.7
23,Los Angeles Clippers,7,2,5,336.0,103.6,110.7,-7.1,60.1,1.46,18.5,27.1,72.0,50.8,17.3,53.0,55.1,94.36,48.0
24,Memphis Grizzlies,8,2,6,384.0,104.2,114.5,-10.4,41.3,1.08,12.2,32.7,73.0,52.0,15.0,46.9,52.0,96.13,43.2
25,New Jersey Nets,7,2,5,356.0,104.2,107.0,-2.8,51.9,1.32,15.2,29.3,70.1,50.0,15.4,48.5,53.6,92.36,47.5
26,New Orleans Hornets,6,2,4,288.0,108.1,110.7,-2.6,57.6,1.71,18.3,26.5,70.6,47.7,14.5,52.7,55.8,96.50,47.9
27,Philadelphia 76ers,7,1,6,341.0,114.4,118.9,-4.5,64.9,1.95,20.8,25.7,69.8,47.5,14.9,58.0,60.3,92.06,47.6
28,Sacramento Kings,6,1,5,288.0,108.8,115.2,-6.4,47.8,1.60,15.5,31.8,73.1,51.3,13.2,50.7,53.7,92.25,45.7
29,Minnesota Timberwolves,7,0,7,336.0,100.7,114.5,-13.7,57.4,1.25,16.1,25.0,68.2,46.1,17.0,49.5,54.2,96.79,41.7
