,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
0,Charlotte Bobcats,16,12,4,778.0,111.0,103.8,7.2,57.4,1.58,16.9,29.7,69.1,49.9,14.7,51.5,56.2,91.31,53.8
1,Cleveland Cavaliers,15,12,3,720.0,111.8,103.1,8.6,60.0,1.39,17.4,31.9,72.7,54.1,17.2,54.5,58.5,91.37,57.4
2,Denver Nuggets,15,12,3,730.0,110.4,104.5,5.9,55.9,1.30,16.2,31.0,70.7,51.5,16.8,53.0,57.8,95.41,53.7
3,Los Angeles Lakers,17,12,5,816.0,110.9,103.4,7.5,51.4,1.78,15.9,29.7,73.5,51.7,12.1,50.6,54.9,92.76,53.4
4,New Orleans Hornets,17,12,5,836.0,109.5,106.7,2.8,55.4,1.83,17.0,27.4,66.4,47.2,12.6,51.0,55.3,92.12,52.0
5,Chicago Bulls,15,10,5,735.0,106.0,101.7,4.2,53.4,1.58,16.1,30.5,69.9,51.0,13.9,49.0,53.0,95.54,54.0
6,Memphis Grizzlies,15,10,5,725.0,111.2,107.4,3.8,50.4,1.36,15.2,36.5,67.7,52.1,15.6,50.4,54.7,93.12,51.2
7,Toronto Raptors,15,10,5,720.0,110.7,107.8,2.9,56.0,1.63,17.2,25.2,73.7,50.3,14.1,53.3,57.7,95.20,51.3
8,Utah Jazz,14,10,4,672.0,111.4,102.3,9.2,68.9,1.79,20.2,29.4,71.2,51.7,15.9,54.6,58.9,95.18,58.7
9,Atlanta Hawks,15,9,6,725.0,108.3,108.2,0.2,58.4,1.85,17.2,32.1,66.8,49.0,13.0,48.8,52.7,88.65,48.7
10,Orlando Magic,17,9,8,821.0,105.5,102.1,3.4,52.9,1.24,14.9,27.0,70.7,49.5,15.9,51.3,55.2,93.40,52.6
11,Dallas Mavericks,15,8,7,725.0,109.0,110.0,-0.9,61.4,1.97,18.3,28.5,71.0,49.7,12.9,50.4,55.1,91.63,51.0
12,Miami Heat,17,8,9,821.0,107.4,105.7,1.7,51.8,1.46,15.5,31.6,70.8,50.5,14.5,49.7,53.5,90.59,50.7
13,Milwaukee Bucks,15,8,7,730.0,105.8,103.6,2.2,54.6,1.70,16.0,29.3,73.0,50.4,12.8,48.7,52.6,94.32,50.0
14,Oklahoma City Thunder,15,8,7,730.0,104.0,100.1,3.9,53.9,1.21,15.3,33.5,67.8,51.4,17.2,48.5,53.6,93.11,53.5
15,San Antonio Spurs,16,8,8,773.0,106.5,105.1,1.4,56.7,1.74,16.8,30.6,71.6,50.4,13.5,49.1,52.4,91.19,49.5
16,Indiana Pacers,17,7,10,816.0,102.3,108.0,-5.7,58.7,1.54,16.7,22.9,70.4,46.5,14.5,48.9,53.1,99.38,46.0
17,Philadelphia 76ers,15,7,8,725.0,103.3,102.9,0.4,56.9,1.44,16.3,31.6,71.7,51.6,15.5,48.3,52.6,92.99,50.9
18,Phoenix Suns,16,7,9,778.0,110.6,113.2,-2.6,56.3,1.58,16.6,29.8,65.9,48.5,14.3,51.5,56.4,98.10,49.6
19,Portland Trail Blazers,15,7,8,730.0,112.5,111.9,0.5,55.2,1.85,17.0,31.3,68.0,49.5,12.6,51.6,56.2,88.37,50.7
20,Boston Celtics,14,6,8,682.0,103.7,104.2,-0.5,62.0,1.31,17.6,26.1,69.6,49.3,18.0,52.7,56.7,91.25,51.9
21,Los Angeles Clippers,15,6,9,720.0,102.5,107.7,-5.2,61.5,1.48,17.2,31.2,70.4,50.4,16.2,48.3,52.4,93.27,46.8
22,New York Knicks,15,6,9,725.0,106.7,109.5,-2.9,57.5,1.57,17.0,28.5,66.6,47.6,14.8,50.5,54.1,94.28,48.8
23,Washington Wizards,16,6,10,778.0,105.4,110.4,-5.1,49.8,1.37,14.9,32.6,69.8,50.7,14.8,48.8,52.7,89.83,45.9
24,Houston Rockets,14,5,9,697.0,105.9,107.5,-1.7,54.3,1.44,15.5,30.8,69.8,49.5,14.7,48.5,52.9,93.00,47.9
25,Detroit Pistons,14,4,10,677.0,100.7,109.0,-8.3,55.3,1.45,15.3,34.7,72.6,51.7,14.7,45.0,49.2,90.22,42.7
26,Golden State Warriors,15,4,11,725.0,106.4,108.3,-1.9,54.5,1.55,15.9,27.1,65.4,45.9,13.7,49.5,54.6,100.30,48.3
27,Minnesota Timberwolves,16,4,12,788.0,103.7,110.5,-6.8,51.9,1.25,14.9,33.4,71.8,51.9,16.3,47.6,52.1,96.94,44.7
28,Sacramento Kings,15,2,13,720.0,98.9,108.5,-9.6,54.7,1.20,14.9,31.5,71.9,50.8,16.9,46.2,50.6,96.07,43.1
29,New Jersey Nets,14,1,13,672.0,95.7,111.6,-15.9,61.1,1.34,15.9,26.6,68.3,46.7,15.9,44.7,50.4,92.50,40.5
