,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
0,Houston Rockets,1,1,0,53,128.6,125.2,3.4,50,2.89,16.9,17,64.5,42.6,7.6,60.9,64.7,107.77,54.3
1,Los Angeles Lakers,1,1,0,48,100,99,1,65.6,1.31,15.2,25.5,81.4,50,15.5,45.7,52.4,102.5,53.7
2,Milwaukee Bucks,1,1,0,48,111.2,106.7,4.5,64.1,1.67,17.9,21.3,71.9,49,14,54.2,60.1,106,58.5
3,Orlando Magic,1,1,0,48,123.1,113.5,9.6,67.4,2.21,21.5,23.3,78,52.7,13.5,59.2,64.4,104,57.1
4,Phoenix Suns,1,1,0,48,115.7,103.7,12,69,1.61,20.3,18.4,75.5,50.6,16.7,59.4,66.4,108,61.6
5,Portland Trail Blazers,1,1,0,53,123.9,118.4,5.5,55.1,1.59,18,25,67.9,48.5,15,61,66.1,102.79,53.5
6,San Antonio Spurs,1,1,0,48,120.6,111.1,9.4,66.7,2.13,21.5,22.2,69.4,46.8,14,59.4,63.3,107.5,57
7,Utah Jazz,1,1,0,48,103.9,103,1,45.9,0.85,12.5,34,63.2,49.5,19.6,48.8,55,101.5,52.8
8,Boston Celtics,1,0,1,48,106.7,111.2,-4.5,48.6,1.13,12.9,28.1,78.7,51,15.2,46.7,52.9,106,41.5
9,Brooklyn Nets,1,0,1,48,113.5,123.1,-9.6,68.2,2.14,20.7,22,76.7,47.3,13.5,55.5,58.3,104,42.9
10,Dallas Mavericks,1,0,1,53,125.2,128.6,-3.4,60,1.5,17.6,35.5,83,57.4,16.8,57.6,61.2,107.77,45.7
11,LA Clippers,1,0,1,48,99,100,-1,53.1,0.77,13.4,18.6,74.5,50,21.6,54.1,58.5,102.5,46.3
12,Memphis Grizzlies,1,0,1,53,118.4,123.9,-5.5,59.5,1.92,16,32.1,75,51.5,11.4,52.2,58.7,102.79,46.5
13,New Orleans Pelicans,1,0,1,48,103,103.9,-1,55,1.05,15.3,36.8,66,50.5,20.8,48.4,51,101.5,47.2
14,Sacramento Kings,1,0,1,48,111.1,120.6,-9.4,47.8,1.22,15.2,30.6,77.8,53.2,16.7,54.7,57.8,107.5,43
15,Washington Wizards,1,0,1,48,103.7,115.7,-12,42.9,1,13,24.5,81.6,49.4,16.7,50.5,55.4,108,38.4
