,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
0,Cleveland Cavaliers,15,13,2,720.0,109.5,100.2,9.3,63.0,1.88,18.8,27.8,74.1,52.0,13.9,53.0,56.3,92.83,56.6
1,Miami Heat,15,12,3,730.0,106.9,99.9,7.0,54.4,1.50,16.0,27.9,69.6,50.2,14.3,51.0,55.5,89.59,57.3
2,Orlando Magic,14,12,2,677.0,115.0,101.4,13.6,56.4,1.51,16.9,32.0,74.2,54.2,15.3,55.3,59.2,90.82,58.1
3,Phoenix Suns,14,12,2,672.0,118.8,107.1,11.7,61.2,1.69,18.5,33.7,68.7,52.7,15.4,56.3,61.0,97.39,57.9
4,San Antonio Spurs,17,12,5,821.0,111.1,102.1,9.0,58.2,1.69,18.0,29.6,73.1,52.0,14.8,53.0,56.2,91.62,54.9
5,Utah Jazz,17,12,5,816.0,114.7,103.9,10.8,68.5,2.00,20.2,32.1,71.8,52.3,14.6,53.4,57.7,96.41,57.1
6,Atlanta Hawks,16,11,5,778.0,113.5,106.0,7.5,54.7,1.85,17.1,32.8,69.3,51.2,12.9,52.2,55.7,90.88,53.9
7,Boston Celtics,17,11,6,816.0,107.3,103.3,3.9,63.2,1.66,18.4,27.0,70.5,49.1,15.2,51.8,56.3,92.38,53.4
8,Charlotte Bobcats,17,11,6,826.0,102.7,98.2,4.5,59.0,1.26,16.2,32.3,72.3,52.8,17.6,48.7,53.6,91.50,55.3
9,Dallas Mavericks,15,11,4,725.0,109.2,107.2,1.9,59.1,1.90,18.2,25.1,67.3,46.8,13.1,52.8,56.4,95.24,53.0
10,Milwaukee Bucks,15,11,4,735.0,104.8,99.9,5.0,58.1,1.55,16.5,30.9,69.7,49.7,14.7,48.2,52.2,90.81,51.5
11,Oklahoma City Thunder,16,11,5,768.0,110.4,105.7,4.8,53.5,1.44,15.9,33.1,71.8,52.8,15.1,50.2,56.0,93.94,54.0
12,Portland Trail Blazers,13,11,2,624.0,114.0,104.3,9.6,53.7,1.93,16.0,35.4,71.3,52.4,11.6,48.6,54.1,88.65,55.7
13,Denver Nuggets,16,9,7,768.0,111.0,108.7,2.3,53.3,1.64,16.0,31.3,68.6,50.2,13.4,50.8,55.6,94.47,52.1
14,Los Angeles Lakers,15,9,6,725.0,108.9,108.2,0.6,52.6,1.37,15.4,33.3,70.8,52.1,15.3,50.5,55.0,92.46,49.6
15,Houston Rockets,16,8,8,773.0,106.9,106.4,0.5,57.6,1.61,16.6,28.9,69.6,48.8,14.1,49.1,53.8,95.84,49.9
16,Indiana Pacers,16,8,8,768.0,105.7,106.3,-0.6,63.5,1.57,17.8,26.3,68.6,47.7,15.4,50.8,55.0,96.06,49.3
17,Memphis Grizzlies,15,8,7,730.0,108.0,107.8,0.2,45.2,1.12,13.7,36.5,71.6,53.7,16.5,50.0,54.1,95.80,49.1
18,New York Knicks,16,6,10,768.0,106.3,111.5,-5.2,54.4,1.57,16.2,23.6,68.9,46.4,13.7,51.1,55.3,95.53,47.1
19,Toronto Raptors,16,6,10,768.0,106.4,112.9,-6.5,55.3,1.56,17.2,25.9,70.0,48.7,14.8,52.3,55.7,93.72,46.9
20,Chicago Bulls,15,4,11,720.0,104.1,111.2,-7.1,58.7,1.67,17.1,26.2,70.0,47.9,13.9,49.1,53.3,94.20,46.0
21,Golden State Warriors,16,4,12,768.0,112.2,117.7,-5.4,54.9,1.84,17.1,24.9,62.6,43.1,12.5,53.1,57.0,101.38,45.0
22,New Jersey Nets,16,4,12,768.0,104.6,110.5,-5.9,60.1,1.69,16.7,27.8,68.9,47.4,13.5,47.2,52.2,92.22,45.0
23,New Orleans Hornets,16,4,12,768.0,107.9,114.0,-6.0,59.9,1.66,18.6,29.1,69.5,49.0,15.5,52.7,55.6,93.19,46.9
24,Philadelphia 76ers,17,4,13,816.0,102.0,109.6,-7.6,53.6,1.29,15.9,30.9,70.1,49.9,16.8,49.4,52.4,92.91,44.5
25,Sacramento Kings,17,4,13,826.0,101.7,106.1,-4.4,56.7,1.49,16.5,30.8,72.2,50.9,15.2,47.6,51.1,93.44,47.0
26,Los Angeles Clippers,16,3,13,768.0,100.5,114.8,-14.3,58.9,1.35,16.4,30.4,70.6,49.5,16.6,47.9,51.5,94.38,41.3
27,Detroit Pistons,15,2,13,725.0,107.1,118.3,-11.2,61.2,1.67,17.6,31.2,68.9,48.7,14.7,49.4,53.7,90.50,42.7
28,Minnesota Timberwolves,14,1,13,672.0,102.2,114.0,-11.9,52.8,1.22,15.1,30.6,72.2,50.8,16.8,48.3,52.7,99.29,42.9
29,Washington Wizards,17,1,16,821.0,96.5,107.9,-11.4,51.5,1.12,14.5,30.6,66.8,48.1,17.4,45.8,49.8,90.71,41.3
