,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
0,Boston Celtics,3,3,0,144.0,114.2,88.8,25.4,75.0,1.76,21.3,29.2,67.3,50.7,17.2,55.9,60.4,89.17,70.9
1,Atlanta Hawks,2,2,0,96.0,112.2,102.1,10.2,61.5,2.00,18.0,26.1,77.4,50.6,12.2,50.9,57.1,97.50,57.7
2,Cleveland Cavaliers,4,2,2,192.0,101.4,98.9,2.4,61.2,1.37,16.7,24.4,71.4,48.1,16.3,50.5,54.3,91.88,51.0
3,Dallas Mavericks,3,2,1,144.0,98.6,95.0,3.6,61.9,1.50,15.7,28.8,74.0,51.4,14.2,43.5,50.3,93.67,56.4
4,Denver Nuggets,2,2,0,96.0,115.3,108.2,7.1,46.5,1.57,13.8,27.6,64.7,47.6,11.5,50.0,57.1,91.75,52.3
5,Houston Rockets,3,2,1,144.0,107.7,109.2,-1.4,60.9,1.40,16.8,32.9,60.6,46.0,16.9,50.6,54.8,94.67,47.2
6,Miami Heat,2,2,0,96.0,112.8,92.6,20.2,48.1,1.19,14.9,30.5,70.4,53.2,16.6,53.3,58.7,94.25,63.0
7,Oklahoma City Thunder,2,2,0,96.0,106.0,94.0,12.1,59.7,1.72,17.6,23.5,72.7,50.0,13.7,50.7,55.5,91.25,62.1
8,Orlando Magic,2,2,0,96.0,115.0,102.1,12.8,59.8,1.58,19.1,27.5,79.2,55.7,16.6,59.6,61.6,93.50,56.9
9,Philadelphia 76ers,3,2,1,149.0,113.1,109.5,3.5,46.7,1.19,14.7,24.1,72.7,51.5,15.7,56.0,62.1,98.26,56.2
10,Phoenix Suns,2,2,0,96.0,111.5,100.5,11.1,57.0,1.32,17.6,28.7,76.4,52.8,17.8,58.2,60.8,103.75,57.2
11,San Antonio Spurs,3,2,1,144.0,112.3,101.4,10.8,52.9,1.60,17.2,26.8,72.8,51.5,14.4,55.3,58.1,92.50,56.0
12,Washington Wizards,3,2,1,144.0,112.9,105.4,7.6,54.1,1.69,17.5,27.8,71.1,50.7,14.0,54.4,57.9,93.00,53.7
13,Charlotte Bobcats,3,1,2,154.0,85.1,100.0,-14.9,54.0,0.84,12.5,31.4,76.5,52.2,19.9,39.1,44.5,87.90,37.9
14,Chicago Bulls,2,1,1,96.0,100.0,111.5,-11.5,56.5,1.63,15.2,33.0,72.3,50.0,13.2,43.1,47.8,91.00,40.9
15,Detroit Pistons,3,1,2,144.0,99.2,97.8,1.5,52.1,1.09,14.1,26.7,65.5,47.0,16.9,47.7,52.4,88.83,50.0
16,Los Angeles Lakers,2,1,1,96.0,94.2,96.9,-2.7,53.7,1.03,13.9,30.6,61.9,45.2,18.4,43.7,47.5,95.50,44.4
17,Memphis Grizzlies,2,1,1,96.0,104.4,113.4,-9.0,50.0,1.03,13.4,42.6,67.0,54.8,18.2,45.8,51.6,90.00,48.8
18,Milwaukee Bucks,2,1,1,96.0,95.3,96.3,-1.0,53.0,1.00,13.6,31.8,77.1,51.6,18.3,45.1,49.0,95.50,43.8
19,Minnesota Timberwolves,2,1,1,96.0,92.4,99.5,-7.1,45.7,1.19,12.1,33.0,72.6,51.2,13.7,40.2,45.1,98.75,43.8
20,New Orleans Hornets,2,1,1,96.0,106.6,112.6,-6.0,45.8,1.50,14.2,22.7,59.3,42.9,12.2,51.0,55.2,90.75,48.8
21,Portland Trail Blazers,3,1,2,144.0,108.8,108.5,0.3,58.6,1.21,15.2,39.7,73.0,56.1,17.6,47.2,54.3,90.83,53.5
22,Toronto Raptors,2,1,1,96.0,107.8,105.1,2.7,58.9,1.54,16.3,29.9,64.7,47.7,14.5,48.5,54.3,97.25,49.6
23,Utah Jazz,2,1,1,96.0,111.9,110.4,1.5,63.4,2.00,18.9,31.9,76.6,54.3,13.5,50.3,55.5,96.25,52.4
24,Golden State Warriors,2,0,2,96.0,99.5,109.0,-9.4,51.3,1.08,14.7,28.3,67.0,46.8,18.2,48.9,52.9,105.25,40.4
25,Indiana Pacers,2,0,2,96.0,99.5,111.9,-12.4,57.4,0.95,15.2,28.1,72.5,50.6,21.2,49.3,55.0,96.50,39.5
26,Los Angeles Clippers,4,0,4,192.0,98.7,107.0,-8.3,64.2,1.40,18.2,24.3,69.8,48.3,17.6,50.6,53.7,96.38,46.3
27,New Jersey Nets,3,0,3,144.0,97.9,108.7,-10.8,53.9,1.34,14.4,27.5,69.9,47.5,14.2,44.2,50.4,96.00,43.7
28,New York Knicks,3,0,3,159.0,100.3,112.9,-12.6,55.9,1.50,15.5,25.7,71.0,45.4,13.8,47.2,51.2,96.00,40.3
29,Sacramento Kings,3,0,3,144.0,100.4,115.1,-14.8,49.5,1.14,13.2,38.0,73.9,52.9,16.1,43.8,48.3,90.83,38.0
